Time,Execution Time
Thu Nov 26 16:32:36 2020,0.954556941986084
Thu Nov 26 16:32:38 2020,0.9813356399536133
Thu Nov 26 16:32:40 2020,0.9724428653717041
Thu Nov 26 16:32:42 2020,0.9294209480285645
Thu Nov 26 16:32:44 2020,1.015428066253662
Thu Nov 26 16:32:46 2020,1.0317089557647705
Thu Nov 26 16:32:48 2020,1.019200086593628
Thu Nov 26 16:32:50 2020,0.9168131351470947
Thu Nov 26 16:32:52 2020,1.0322527885437012
Thu Nov 26 16:32:54 2020,1.0183391571044922
Thu Nov 26 16:32:56 2020,0.9281039237976074
Thu Nov 26 16:32:58 2020,1.0313563346862793
Thu Nov 26 16:33:00 2020,1.031480073928833
Thu Nov 26 16:33:02 2020,0.9337449073791504
Thu Nov 26 16:33:04 2020,1.0342597961425781
Thu Nov 26 16:33:06 2020,0.915942907333374
Thu Nov 26 16:33:08 2020,0.9342961311340332
Thu Nov 26 16:33:10 2020,0.933588981628418
Thu Nov 26 16:33:12 2020,1.031614065170288
Thu Nov 26 16:33:14 2020,1.032571792602539
Thu Nov 26 16:33:16 2020,1.1401748657226562
Thu Nov 26 16:33:18 2020,1.0484669208526611
Thu Nov 26 16:33:20 2020,0.9788427352905273
Thu Nov 26 16:33:23 2020,1.0668160915374756
Thu Nov 26 16:33:24 2020,0.9287748336791992
Thu Nov 26 16:33:27 2020,1.0134499073028564
Thu Nov 26 16:33:29 2020,1.02327299118042
Thu Nov 26 16:33:31 2020,1.1376111507415771
Thu Nov 26 16:33:33 2020,1.032236099243164
Thu Nov 26 16:33:35 2020,0.985569953918457
Thu Nov 26 16:33:37 2020,1.0780558586120605
Thu Nov 26 16:33:39 2020,0.9954109191894531
Thu Nov 26 16:33:41 2020,0.9316861629486084
Thu Nov 26 16:33:43 2020,0.9232048988342285
Thu Nov 26 16:33:45 2020,1.035632848739624
Thu Nov 26 16:33:47 2020,0.870164155960083
Thu Nov 26 16:33:49 2020,1.096930980682373
Thu Nov 26 16:33:51 2020,0.9450743198394775
Thu Nov 26 16:33:53 2020,0.9688451290130615
Thu Nov 26 16:33:55 2020,0.9947519302368164
Thu Nov 26 16:33:57 2020,0.9317061901092529
Thu Nov 26 16:33:59 2020,1.0238049030303955
Thu Nov 26 16:34:01 2020,0.929581880569458
Thu Nov 26 16:34:03 2020,0.8981359004974365
Thu Nov 26 16:34:05 2020,0.984795331954956
Thu Nov 26 16:34:07 2020,0.972862958908081
Thu Nov 26 16:34:09 2020,0.9264638423919678
Thu Nov 26 16:34:11 2020,0.9601669311523438
Thu Nov 26 16:34:13 2020,0.9174180030822754
Thu Nov 26 16:34:14 2020,0.9243049621582031
Thu Nov 26 16:34:17 2020,1.0337119102478027
Thu Nov 26 16:34:19 2020,1.0347540378570557
Thu Nov 26 16:34:21 2020,1.07545804977417
Thu Nov 26 16:34:23 2020,0.9336159229278564
Thu Nov 26 16:34:25 2020,0.9023208618164062
Thu Nov 26 16:34:27 2020,0.9143500328063965
Thu Nov 26 16:34:29 2020,1.0595660209655762
Thu Nov 26 16:34:31 2020,1.0203418731689453
Thu Nov 26 16:34:33 2020,1.0091156959533691
Thu Nov 26 16:34:35 2020,0.9551210403442383
Thu Nov 26 16:34:37 2020,1.0867016315460205
Thu Nov 26 16:34:39 2020,0.9234349727630615
Thu Nov 26 16:34:41 2020,1.0328431129455566
Thu Nov 26 16:34:43 2020,0.9145290851593018
Thu Nov 26 16:34:45 2020,1.0253911018371582
Thu Nov 26 16:34:47 2020,0.8795969486236572
